Job Title,Job Type,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Company URL,Recommend Job
Data scientist - Consultant- BLR,Job Type : Full-time,₹730K - ₹936K (Glassdoor est.),"SCAM ALERT: Caution against fraudulent job offers!
More Info

×

SCAM ALERT
Caution against fraudulent job offers!

We have been informed of instances where jobseekers are led to believe of fictitious job opportunities with Deloitte India (“Deloitte”). In one or more such cases, false promises of actual or potential selection, or initiation or completion of the recruitment formalities appear to have been or are being made. Some jobseekers appear to have been asked to pay money to specified bank accounts of individuals or entities as a condition of their selection for a ‘job’ with Deloitte. These individuals or entities are in no way connected with Deloitte and do not represent or otherwise act on behalf of Deloitte.


At Deloitte, ethics and integrity are fundamental and not negotiable.
We are against corruption and neither offer bribes nor accept them, nor induce or permit any other party to make or receive bribes on our behalf.
We have not authorised any party or person to collect any money from jobseekers in any form whatsoever for promises of getting jobs in Deloitte.
We consider candidates on merit and that we provide an equal opportunity to eligible applicants.
No one other than designated Deloitte personnel (e.g., a Deloitte recruiter or Deloitte hiring partner) is permitted to extend any job offer from Deloitte.

Anyone who at any time has made or makes any payment to any party in exchange of promises of job or selection for a job with Deloitte or any matter related to this (including those for ‘registration’, ‘verification’ or ‘security deposit’) or otherwise engages with any such person who has made or makes fraudulent promises or offers, does so (or has done so) entirely at their own risk. Deloitte takes no responsibility or liability for any such unauthorised or fraudulent actions or engagements.
We encourage jobseekers to exercise caution.

4 – 7 years (Consultant level)

A Data Scientist will

Participate in discussions with stakeholders throughout the organization to identify unmet needs and work with them to implement advanced analytics solutions for life sciences and healthcare industry
Functionally assess the data to come up with feasible downstream advanced analytics and perform data quality checks
Work with data engineers for data standardization tasks
Work with application and quality assurance teams to fix defects and bugs.
Develop and validate statistical as well as machine learning models using data
Closely monitor the research as well as industry space as to what are major developments happening within the space of data science and work with stakeholders in upgradation as well as development of new advanced analytics tools
Participate in customer support activities for existing clients using Converge Health’s existing platform\\products.


PhD in Statistics/Biostatistics/Bioinformatics/Epidemiology and/or Master’s in related domains with equivalent work experience in Healthcare Data Science.
Familiarity with functional concepts and domains in healthcare like Real-World-Data (claims, EHRs, etc.), Epidemiology, Medical Ontologies, open-source healthcare data models like OMOP
Strong theoretical understanding as well as practical experience in basic biostatistical concepts, machine learning (regularized regression, random forest, gradient boosting machines), deep learning (feed-forward neural networks, sequential deep neural networks such as RNN and LSTM) and statistical modelling, survival analysis
Demonstrated experience in programming languages R and Python
AWS)
Ability to identify data anomalies and fixing them to improve overall data quality

Additional preferred skills and experience

Medical background (MBBS/MD/MPH) with graduate degree in Biostatistics/Computational-Biology/Bioinformatics/Epidemiology
Experience in machine learning development and maintenance life cycle (MLOps)
Experience in cloud framework like AWS
Experience dealing with OMICS data
Experience and/or familiarity in Natural Language Processing (NLP) especially topic modelling.


Qualifications -


\\“Deloitte\\” is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management and tax services to selected clients. These firms are members of Deloitte Touche Tohmatsu Limited DTTL, a UK private company limited by guarantee. Each member firm provides services in a particular geographic area and is subject to the laws and professional regulations of the particular country or countries in which it operates. DTTL does not itself provide services to clients. DTTL and each DTTL member firm are separate and distinct legal entities, which cannot obligate each other. DTTL and each DTTL member firm are liable only for their own acts or omissions and not those of each other. Each DTTL member firm is structured differently in accordance with national laws, regulations, customary practice, and other factors, and may secure the provision of professional services in its territory through subsidiaries, affiliates and/or other entities.
In the United States, Deloitte LLP is the member firm of DTTL. Like DTTL, Deloitte LLP does not provide services to clients. Instead, services are primarily provided by the subsidiaries of Deloitte LLP, including:
Deloitte & Touche LLP
Deloitte Consulting LLP
Deloitte Financial Advisory Services LLP
Deloitte Tax LLP

E22BCCONAK-DSCH",3.9,"Deloitte
3.9",Bangalore,-1,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),http://www.deloitte.com/,-1
Data scientist - Consultant- BLR,Job Type : Full-time,₹730K - ₹936K (Glassdoor est.),"SCAM ALERT: Caution against fraudulent job offers!
More Info

×

SCAM ALERT
Caution against fraudulent job offers!

We have been informed of instances where jobseekers are led to believe of fictitious job opportunities with Deloitte India (“Deloitte”). In one or more such cases, false promises of actual or potential selection, or initiation or completion of the recruitment formalities appear to have been or are being made. Some jobseekers appear to have been asked to pay money to specified bank accounts of individuals or entities as a condition of their selection for a ‘job’ with Deloitte. These individuals or entities are in no way connected with Deloitte and do not represent or otherwise act on behalf of Deloitte.


At Deloitte, ethics and integrity are fundamental and not negotiable.
We are against corruption and neither offer bribes nor accept them, nor induce or permit any other party to make or receive bribes on our behalf.
We have not authorised any party or person to collect any money from jobseekers in any form whatsoever for promises of getting jobs in Deloitte.
We consider candidates on merit and that we provide an equal opportunity to eligible applicants.
No one other than designated Deloitte personnel (e.g., a Deloitte recruiter or Deloitte hiring partner) is permitted to extend any job offer from Deloitte.

Anyone who at any time has made or makes any payment to any party in exchange of promises of job or selection for a job with Deloitte or any matter related to this (including those for ‘registration’, ‘verification’ or ‘security deposit’) or otherwise engages with any such person who has made or makes fraudulent promises or offers, does so (or has done so) entirely at their own risk. Deloitte takes no responsibility or liability for any such unauthorised or fraudulent actions or engagements.
We encourage jobseekers to exercise caution.

4 – 7 years (Consultant level)

A Data Scientist will

Participate in discussions with stakeholders throughout the organization to identify unmet needs and work with them to implement advanced analytics solutions for life sciences and healthcare industry
Functionally assess the data to come up with feasible downstream advanced analytics and perform data quality checks
Work with data engineers for data standardization tasks
Work with application and quality assurance teams to fix defects and bugs.
Develop and validate statistical as well as machine learning models using data
Closely monitor the research as well as industry space as to what are major developments happening within the space of data science and work with stakeholders in upgradation as well as development of new advanced analytics tools
Participate in customer support activities for existing clients using Converge Health’s existing platform\\products.


PhD in Statistics/Biostatistics/Bioinformatics/Epidemiology and/or Master’s in related domains with equivalent work experience in Healthcare Data Science.
Familiarity with functional concepts and domains in healthcare like Real-World-Data (claims, EHRs, etc.), Epidemiology, Medical Ontologies, open-source healthcare data models like OMOP
Strong theoretical understanding as well as practical experience in basic biostatistical concepts, machine learning (regularized regression, random forest, gradient boosting machines), deep learning (feed-forward neural networks, sequential deep neural networks such as RNN and LSTM) and statistical modelling, survival analysis
Demonstrated experience in programming languages R and Python
AWS)
Ability to identify data anomalies and fixing them to improve overall data quality

Additional preferred skills and experience

Medical background (MBBS/MD/MPH) with graduate degree in Biostatistics/Computational-Biology/Bioinformatics/Epidemiology
Experience in machine learning development and maintenance life cycle (MLOps)
Experience in cloud framework like AWS
Experience dealing with OMICS data
Experience and/or familiarity in Natural Language Processing (NLP) especially topic modelling.


Qualifications -


\\“Deloitte\\” is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management and tax services to selected clients. These firms are members of Deloitte Touche Tohmatsu Limited DTTL, a UK private company limited by guarantee. Each member firm provides services in a particular geographic area and is subject to the laws and professional regulations of the particular country or countries in which it operates. DTTL does not itself provide services to clients. DTTL and each DTTL member firm are separate and distinct legal entities, which cannot obligate each other. DTTL and each DTTL member firm are liable only for their own acts or omissions and not those of each other. Each DTTL member firm is structured differently in accordance with national laws, regulations, customary practice, and other factors, and may secure the provision of professional services in its territory through subsidiaries, affiliates and/or other entities.
In the United States, Deloitte LLP is the member firm of DTTL. Like DTTL, Deloitte LLP does not provide services to clients. Instead, services are primarily provided by the subsidiaries of Deloitte LLP, including:
Deloitte & Touche LLP
Deloitte Consulting LLP
Deloitte Financial Advisory Services LLP
Deloitte Tax LLP

E22BCCONAK-DSCH",3.9,"Deloitte
3.9",Bangalore,-1,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),http://www.deloitte.com/,-1
Data scientist - Consultant- BLR,Job Type : Full-time,₹730K - ₹936K (Glassdoor est.),"SCAM ALERT: Caution against fraudulent job offers!
More Info

×

SCAM ALERT
Caution against fraudulent job offers!

We have been informed of instances where jobseekers are led to believe of fictitious job opportunities with Deloitte India (“Deloitte”). In one or more such cases, false promises of actual or potential selection, or initiation or completion of the recruitment formalities appear to have been or are being made. Some jobseekers appear to have been asked to pay money to specified bank accounts of individuals or entities as a condition of their selection for a ‘job’ with Deloitte. These individuals or entities are in no way connected with Deloitte and do not represent or otherwise act on behalf of Deloitte.


At Deloitte, ethics and integrity are fundamental and not negotiable.
We are against corruption and neither offer bribes nor accept them, nor induce or permit any other party to make or receive bribes on our behalf.
We have not authorised any party or person to collect any money from jobseekers in any form whatsoever for promises of getting jobs in Deloitte.
We consider candidates on merit and that we provide an equal opportunity to eligible applicants.
No one other than designated Deloitte personnel (e.g., a Deloitte recruiter or Deloitte hiring partner) is permitted to extend any job offer from Deloitte.

Anyone who at any time has made or makes any payment to any party in exchange of promises of job or selection for a job with Deloitte or any matter related to this (including those for ‘registration’, ‘verification’ or ‘security deposit’) or otherwise engages with any such person who has made or makes fraudulent promises or offers, does so (or has done so) entirely at their own risk. Deloitte takes no responsibility or liability for any such unauthorised or fraudulent actions or engagements.
We encourage jobseekers to exercise caution.

4 – 7 years (Consultant level)

A Data Scientist will

Participate in discussions with stakeholders throughout the organization to identify unmet needs and work with them to implement advanced analytics solutions for life sciences and healthcare industry
Functionally assess the data to come up with feasible downstream advanced analytics and perform data quality checks
Work with data engineers for data standardization tasks
Work with application and quality assurance teams to fix defects and bugs.
Develop and validate statistical as well as machine learning models using data
Closely monitor the research as well as industry space as to what are major developments happening within the space of data science and work with stakeholders in upgradation as well as development of new advanced analytics tools
Participate in customer support activities for existing clients using Converge Health’s existing platform\\products.


PhD in Statistics/Biostatistics/Bioinformatics/Epidemiology and/or Master’s in related domains with equivalent work experience in Healthcare Data Science.
Familiarity with functional concepts and domains in healthcare like Real-World-Data (claims, EHRs, etc.), Epidemiology, Medical Ontologies, open-source healthcare data models like OMOP
Strong theoretical understanding as well as practical experience in basic biostatistical concepts, machine learning (regularized regression, random forest, gradient boosting machines), deep learning (feed-forward neural networks, sequential deep neural networks such as RNN and LSTM) and statistical modelling, survival analysis
Demonstrated experience in programming languages R and Python
AWS)
Ability to identify data anomalies and fixing them to improve overall data quality

Additional preferred skills and experience

Medical background (MBBS/MD/MPH) with graduate degree in Biostatistics/Computational-Biology/Bioinformatics/Epidemiology
Experience in machine learning development and maintenance life cycle (MLOps)
Experience in cloud framework like AWS
Experience dealing with OMICS data
Experience and/or familiarity in Natural Language Processing (NLP) especially topic modelling.


Qualifications -


\\“Deloitte\\” is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management and tax services to selected clients. These firms are members of Deloitte Touche Tohmatsu Limited DTTL, a UK private company limited by guarantee. Each member firm provides services in a particular geographic area and is subject to the laws and professional regulations of the particular country or countries in which it operates. DTTL does not itself provide services to clients. DTTL and each DTTL member firm are separate and distinct legal entities, which cannot obligate each other. DTTL and each DTTL member firm are liable only for their own acts or omissions and not those of each other. Each DTTL member firm is structured differently in accordance with national laws, regulations, customary practice, and other factors, and may secure the provision of professional services in its territory through subsidiaries, affiliates and/or other entities.
In the United States, Deloitte LLP is the member firm of DTTL. Like DTTL, Deloitte LLP does not provide services to clients. Instead, services are primarily provided by the subsidiaries of Deloitte LLP, including:
Deloitte & Touche LLP
Deloitte Consulting LLP
Deloitte Financial Advisory Services LLP
Deloitte Tax LLP

E22BCCONAK-DSCH",3.9,"Deloitte
3.9",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.deloitte.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
Senior Data Scientist,Job Type : Full-time,₹610K - ₹728K (Glassdoor est.),"At Trane Technologies® we Challenge Possible. Our brands – including Trane® and Thermo King® - create access to cooling and comfort in buildings and homes, transport and protect food and perishables, connect customers to elevated performance with less environmental impact, dramatically reduce energy demands and carbon emissions, and innovate with a better world in mind. We boldly challenge what’s possible for a sustainable world.

Job Summary：
We are looking for an experienced Data Scientist who is passionate about understanding operating principles, failure modes of mechanical hardware such as IC Engines, Compressors, and Refrigeration systems, etc. and develop different machine learning models that can accurately segregate/predict impending failures among fielded assets.

Responsibilities:",4.4,"Trane Technologies
4.4",Bangalore,-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,http://www.tranetechnologies.com/,-1
